Nome,Categoria,Estrelas,Dia,Endereço,Latitude,Longitude,Notas
Iglesias · almoço no centro histórico,🍽️ Restaurante,⭐⭐ Vale o desvio,Qua 12/Ago,"Iglesias, Sardegna, Italia",,,Cidade mineira · 30min de desvio · várias trattorias na Piazza Sella e arredores · escolha no local
Continua até Maladroxia (rápido),🍽️ Restaurante,⭐ Se sobrar,Qua 12/Ago,"Continua até Maladroxia rápido, Sardegna, Italia",,,Almoço tardio na praia · ganha tempo · mais cedo na hospedagem
"Lu' Hotel Maladroxia · Ristorante Lounge Bar (Via Golfo di Palmas 16, Sant'Antioco)",🍽️ Restaurante,⭐ Se sobrar,Qua 12/Ago,"Lu' Hotel Maladroxia, Sardegna, Italia",,,"Chegar e almoçar na base, sem desvio · terraço com vista de mar"
Check-in Maladroxia · base 4 noites,🎯 Atração,⭐ Se sobrar,Qua 12/Ago,"38.9989, 8.4489",38.9989,8.4489,Caminhada nos pontos de água quente termal · brincadeira pra neta
"Ittiturismo I Due Fratelli (Lungomare Cristoforo Colombo 72, Sant'Antioco)",🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Qua 12/Ago,"Ittiturismo I Due Fratelli Lungomare Cristoforo Colombo 72, Sant'Antioco, Sardegna, Italia",,,"Cooperativa da família Serra, pescadores há gerações · o peixe chega a poucas dezenas de metros do barco · tel. 366 839 7107 · 15min de carro"
"Ristorante Da Silvana (Località Is Loddus, Sant'Antioco)",🍽️ Restaurante,⭐⭐ Vale o desvio,Qua 12/Ago,"Ristorante Da Silvana Località Is Loddus, Sant'Antioco, Sardegna, Italia",,,"Rústico, à beira da lagoa, com mesas fora e toldo · peixe de qualidade a preço honesto"
Sant'Antioco · cidade fenícia 8 sec a.C.,🎯 Atração,⭐⭐⭐ Vale a viagem,Qui 13/Ago,"39.0706, 8.45",39.0706,8.45,Catacumbas cristãs construídas DENTRO de tumbas púnicas · Basilica Sant'Antioco Martire
Tophet di Sant'Antioco (cemitério ritual),🎯 Atração,,Qui 13/Ago,"39.0706, 8.45",39.0706,8.45,Parada do walking tour: Sant'Antioco · 🏛️ Caminho Fenício-Cristão
Museo Barreca MAB (artefatos),🎯 Atração,,Qui 13/Ago,"39.0706, 8.45",39.0706,8.45,Parada do walking tour: Sant'Antioco · 🏛️ Caminho Fenício-Cristão
Basilica Sant'Antioco Martire + catacumbas,🎯 Atração,,Qui 13/Ago,"39.0672, 8.4522",39.0672,8.4522,Parada do walking tour: Sant'Antioco · 🏛️ Caminho Fenício-Cristão
Necrópole púnica subterrânea,🎯 Atração,,Qui 13/Ago,"39.067, 8.4524",39.067,8.4524,Parada do walking tour: Sant'Antioco · 🏛️ Caminho Fenício-Cristão
Tonnara ruins · Cala Sapone,🎯 Atração,,Qui 13/Ago,"39.059, 8.448",39.059,8.448,Parada do walking tour: Sant'Antioco · 🏛️ Caminho Fenício-Cristão
"I Vinattieri (Corso Vittorio Emanuele, Sant'Antioco)",🍽️ Restaurante,⭐⭐ Vale o desvio,Qui 13/Ago,"I Vinattieri Corso Vittorio Emanuele, Sant'Antioco, Sardegna, Italia",,,"Enoteca no corso principal · pratos locais com Vermentino, Cannonau e Carignano del Sulcis a copo"
"Is Solus Bistrot (Corso Vittorio Emanuele 11, Sant'Antioco)",☕ Café,⭐⭐ Vale o desvio,Qui 13/Ago,"Is Solus Bistrot Corso Vittorio Emanuele 11, Sant'Antioco, Sardegna, Italia",,,"Bistrô de sanduíches bem-feitos · rápido, no meio do walking tour"
Picnic mira-mar,🥐 Padaria/Doceria,⭐ Se sobrar,Qui 13/Ago,"Picnic mira-mar, Sardegna, Italia",,,"Comprado na padaria local · come-se perto da basílica, na parte alta"
Volta a Maladroxia · banho de fim de tarde,🌳 Parque,⭐ Se sobrar,Qui 13/Ago,"38.9989, 8.4489",38.9989,8.4489,Pôr do sol da praia · luz dourada na água
Carloforte · vila genovesa do atum,🎯 Atração,⭐⭐⭐ Vale a viagem,Sex 14/Ago,"39.1451, 8.3073",39.1451,8.3073,Atum em Carloforte · provar diferentes cortes · ventresca de barriga é o melhor
"Al Tonno di Corsa (Via Guglielmo Marconi 47, Carloforte)",🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Sex 14/Ago,"Al Tonno di Corsa Via Guglielmo Marconi 47, Carloforte, Sardegna, Italia",,,Guia Michelin · ventresca selada e tagliatelle ao ragù de atum · tel. 0781 855106 · reservar com antecedência
"Osteria della Tonnara (Corso Battellieri 36, Carloforte)",🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Sex 14/Ago,"Osteria della Tonnara Corso Battellieri 36, Carloforte, Sardegna, Italia",,,"Na beira-mar, de frente pro porto e pras salinas · cassulli com tomate, pesto e atum · tel. 0781 855734"
"Ristorante Da Nicolo (Corso Cavour 32, Carloforte)",🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Sex 14/Ago,"Ristorante Da Nicolo Corso Cavour 32, Carloforte, Sardegna, Italia",,,"Da família Pomata, há décadas · Guia Michelin · o mais elegante dos três · tel. 0781 854048"
Spiaggia La Bobba (Isola di San Pietro),🌳 Parque,⭐⭐ Vale o desvio,Sex 14/Ago,"39.09611, 8.29472",39.09611,8.29472,"Le Colonne: dois pilares de traquito vermelho isolados no mar, restos de um paredão que o mar comeu por trás"
"Max Pizzeria (Corso Vittorio Emanuele 85, Sant'Antioco)",🍽️ Restaurante,⭐ Se sobrar,Sex 14/Ago,"Max Pizzeria Corso Vittorio Emanuele 85, Sant'Antioco, Sardegna, Italia",,,Pizza simples a 15min de carro · dá pra levar embora
Porto Flavia · mina dentro do penhasco,🎯 Atração,⭐⭐⭐ Vale a viagem,Sáb 15/Ago,"39.3371, 8.4126",39.3371,8.4126,Varanda final no penhasco · vista do Pan di Zucchero e do Mediterrâneo · 50m de queda d'água
Cala Domestica · baía escondida,🌳 Parque,⭐⭐ Vale o desvio,Sáb 15/Ago,"39.3738, 8.3797",39.3738,8.3797,Subir até a torre de vigia · vista da baía e do mar
Despedida do Tobia · saída cedo,🎯 Atração,⭐ Se sobrar,Dom 16/Ago,"38.9989, 8.4489",38.9989,8.4489,Layby DEPOIS do túnel de Dorgali · vista aérea de Cala Gonone abaixo · postal único
"Il Rifugio (Via Antonio Mereu 28, Nuoro)",🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Dom 16/Ago,"Il Rifugio Via Antonio Mereu 28, Nuoro, Sardegna, Italia",,,Trattoria barbaricina citada no Touring Club · pratos sardos que já não se acham em outro lugar · fecha às quartas (hoje é domingo) · tel. 0784 232355
Dorgali · almoço no caminho,🍽️ Restaurante,⭐ Se sobrar,Dom 16/Ago,"Dorgali, Sardegna, Italia",,,"20min antes de Cala Gonone · vila de artesãos, várias trattorias no centro · escolha no local"
Sandes na estrada,☕ Café,⭐ Se sobrar,Dom 16/Ago,"Sandes na estrada, Sardegna, Italia",,,Autogrill na SS131 · pra ganhar uma hora num dia de 4h de volante
Layby após túnel de Dorgali · vista aérea,🎯 Atração,⭐⭐ Vale o desvio,Dom 16/Ago,"40.289, 9.628",40.289,9.628,A vista do paredão · cabo curto de gente nesse spot
Check-in Cala Gonone · base 2 noites,🎯 Atração,⭐ Se sobrar,Dom 16/Ago,"40.2804, 9.6272",40.2804,9.6272,"Marina ao pôr do sol · barcos voltando, luz dourada nas falésias"
"Ristorante Il Pescatore (via Acqua Dolce 7, Cala Gonone)",🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Dom 16/Ago,"Ristorante Il Pescatore via Acqua Dolce 7, Cala Gonone, Sardegna, Italia",,,Guia Michelin e Lonely Planet · peixe do dia num terraço de frente pro mar
HBM Bue Marino · Ristorante (marina de Cala Gonone),🍽️ Restaurante,⭐⭐ Vale o desvio,Dom 16/Ago,"HBM Bue Marino, Sardegna, Italia",,,"Restaurante no rooftop do hotel, com o dono Alberto Ligios cuidando da carta de vinhos locais · culurgiones e cordeiro"
"Ristorante Pizzeria La Poltrona (Via Vasco de Gama 22, Cala Gonone)",🍽️ Restaurante,⭐ Se sobrar,Dom 16/Ago,"Ristorante Pizzeria La Poltrona Via Vasco de Gama 22, Cala Gonone, Sardegna, Italia",,,"Casual, pizza em forno a lenha · a opção de chegar e não pensar"
Boat Tour Golfo di Orosei · dia inteiro,🌳 Parque,⭐⭐⭐ Vale a viagem,Seg 17/Ago,"40.1233, 9.6763",40.1233,9.6763,"Em Cala Mariolu, o fundo é feito de seixos brancos do tamanho de moeda — é isso que faz a água parecer iluminada por baixo. Os locais chamam a praia de Ispuligidenie, 'pulgas de neve', pelo mesmo motivo"
Retorno + sorvete na marina,☕ Café,⭐ Se sobrar,Seg 17/Ago,"40.2804, 9.6272",40.2804,9.6272,Sabor fico d'india (figo da Índia) · típico sardo · refrescante
"Ristorante Pizzeria San Francisco (Via Magellano 8, Cala Gonone)",🍽️ Restaurante,⭐⭐ Vale o desvio,Seg 17/Ago,"Ristorante Pizzeria San Francisco Via Magellano 8, Cala Gonone, Sardegna, Italia",,,Cozinha de mar e pizza · simples e a pé da marina
"Pizzeria Zio Pedrillo (Via Lungomare Palmasera, Cala Gonone)",🍽️ Restaurante,⭐ Se sobrar,Seg 17/Ago,"Pizzeria Zio Pedrillo Via Lungomare Palmasera, Cala Gonone, Sardegna, Italia",,,"Pizza e cerveja na beira-mar · dorme cedo, amanhã são 2h45 de estrada"
Check-out Cala Gonone,🎯 Atração,⭐ Se sobrar,Ter 18/Ago,"40.2804, 9.6272",40.2804,9.6272,Foto do túnel de Dorgali NO SENTIDO INVERSO (vista oposta) · ao sair de Cala Gonone
Almoço Olbia (Corso Umberto),🍽️ Restaurante,⭐ Se sobrar,Ter 18/Ago,"Almoço Olbia Corso Umberto, Sardegna, Italia",,,30min desvio · cidade conhecida · café + trattoria
Trattoria Santa Teresa,🍽️ Restaurante,⭐⭐ Vale o desvio,Ter 18/Ago,"Trattoria Santa Teresa, Sardegna, Italia",,,Cidade do norte · ambiente marítimo · culinária da Gallura
Picnic na estrada,🥐 Padaria/Doceria,⭐ Se sobrar,Ter 18/Ago,"Picnic na estrada, Sardegna, Italia",,,Pra ganhar tempo · Autogrill ou padaria · prático
Check-in Santa Teresa/Capo Testa · base 3 noites,🎯 Atração,⭐ Se sobrar,Ter 18/Ago,"41.2389, 9.1907",41.2389,9.1907,Caminhar até a praia Rena di Ponente após o check-in · 10min · areia branca · perfeita pra pôr do sol
Capo Testa · Valle della Luna walking trail,🌳 Parque,⭐⭐⭐ Vale a viagem,Ter 18/Ago,"41.2365, 9.1617",41.2365,9.1617,"Perto do farol, procure os blocos de granito com sulcos retos e cunhas ainda encaixadas: são cortes romanos abandonados no meio do trabalho, há dois mil anos"
Parking Capo Testa (info point),🎯 Atração,,Ter 18/Ago,"41.2365, 9.1617",41.2365,9.1617,Parada do walking tour: Capo Testa · 🌄 Paisagem Lunar
Valle della Luna (formações graníticas),🎯 Atração,,Ter 18/Ago,"41.2443, 9.1488",41.2443,9.1488,Parada do walking tour: Capo Testa · 🌄 Paisagem Lunar
Cala Grande (praia escondida),🎯 Atração,,Ter 18/Ago,"41.241, 9.148",41.241,9.148,Parada do walking tour: Capo Testa · 🌄 Paisagem Lunar
Faro di Capo Testa,🎯 Atração,,Ter 18/Ago,"41.24377, 9.14422",41.24377,9.14422,Parada do walking tour: Capo Testa · 🌄 Paisagem Lunar
"Millo Ristorante (via Garibaldi 4, Santa Teresa di Gallura)",🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Ter 18/Ago,"Millo Ristorante via Garibaldi 4, Santa Teresa di Gallura, Sardegna, Italia",,,Citado no Guia Michelin · cozinha da Gallura levada a sério · reservar
"Ristorante da Thomas (via Val d'Aosta, Santa Teresa di Gallura)",🍽️ Restaurante,⭐⭐ Vale o desvio,Ter 18/Ago,"Ristorante da Thomas via Val d'Aosta, Santa Teresa di Gallura, Sardegna, Italia",,,"Clássico da vila · peixe e massa caseira, ambiente tranquilo"
"Ristorante Pizzeria La Lampara (Via Sandro Pertini 6, Santa Teresa di Gallura)",🍽️ Restaurante,⭐⭐ Vale o desvio,Ter 18/Ago,"Ristorante Pizzeria La Lampara Via Sandro Pertini 6, Santa Teresa di Gallura, Sardegna, Italia",,,Mais informal · pizza em forno a lenha e pratos de mar
La Maddalena town · walking tour + ilhas,🎯 Atração,⭐⭐ Vale o desvio,Qua 19/Ago,"41.2169, 9.4026",41.2169,9.4026,"Nas fachadas da Via Garibaldi, as placas em inglês desbotadas dos anos de base naval americana — quatro mil americanos moraram aqui por 35 anos, e a ilha ainda tem o sotaque disso"
Porto La Maddalena (chegada ferry),🎯 Atração,,Qua 19/Ago,"41.2169, 9.4026",41.2169,9.4026,Parada do walking tour: La Maddalena · 🏝️ Vila do Arquipélago
Piazza Garibaldi (centro),🎯 Atração,,Qua 19/Ago,"41.2169, 9.4026",41.2169,9.4026,Parada do walking tour: La Maddalena · 🏝️ Vila do Arquipélago
Piazza Umberto I,🎯 Atração,,Qua 19/Ago,"41.2175, 9.403",41.2175,9.403,Parada do walking tour: La Maddalena · 🏝️ Vila do Arquipélago
Cala Francese (rochas rosa),🎯 Atração,,Qua 19/Ago,"41.221, 9.405",41.221,9.405,Parada do walking tour: La Maddalena · 🏝️ Vila do Arquipélago
Spiaggia di Tegge,🎯 Atração,,Qua 19/Ago,"41.222, 9.408",41.222,9.408,Parada do walking tour: La Maddalena · 🏝️ Vila do Arquipélago
"Ristorante Caprera (via Tommaso Zonza 3, La Maddalena)",🍽️ Restaurante,⭐⭐ Vale o desvio,Qua 19/Ago,"Ristorante Caprera via Tommaso Zonza 3, La Maddalena, Sardegna, Italia",,,Junto ao porto e à igreja de Santa Maria Maddalena · massa com frutos do mar
"Noir Lounge · Restaurant & Cocktail Bar (Piazza XXIII Febbraio 10, La Maddalena)",🍽️ Restaurante,⭐⭐ Vale o desvio,Qua 19/Ago,"Noir Lounge, Sardegna, Italia",,,"Terraço sobre o porticciolo de Cala Gavetta · carta ampla, peixe e carne"
Picnic em Cala Caprarese (Caprera),🥐 Padaria/Doceria,⭐ Se sobrar,Qua 19/Ago,"Picnic em Cala Caprarese Caprera, Sardegna, Italia",,,"Comprado na padaria de La Maddalena · Caprarese é livre e sem trilha, diferente de Cala Coticcio"
Ilha Caprera · Cala Coticcio + Garibaldi,🎯 Atração,⭐⭐⭐ Vale a viagem,Qua 19/Ago,"41.21694, 9.48417",41.21694,9.48417,"O quarto de Garibaldi: a cama foi puxada pra janela nos últimos dias pra ele ver o mar, e o relógio da parede está parado às 18h20 — a hora em que ele morreu"
San Pantaleo · feira de quinta,🛒 Mercado,⭐⭐ Vale o desvio,Qui 20/Ago,"41.0456, 9.4675",41.0456,9.4675,"As bancas de resolzas — as facas de cabo de chifre que os pastores sardos fazem à mão · repare que a lâmina abre sem mola nenhuma, só por atrito, e que cada cabo é de um chifre diferente, então não existem duas iguais"
"Ristorante Giagoni in Piazza (Piazza della Chiesa 6, San Pantaleo)",🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Qui 20/Ago,"Ristorante Giagoni in Piazza Piazza della Chiesa 6, San Pantaleo, Sardegna, Italia",,,Casa de pedra galurense de frente pra praça da igreja · cozinha sarda com produto local · tel. 0789 65224
Bares da praça de San Pantaleo,☕ Café,⭐ Se sobrar,Qui 20/Ago,"Bares da praça de San Pantaleo, Sardegna, Italia",,,"Vários ao redor da igreja, todos com mesa na rua · café, sanduíche e sombra depois do mercado · escolha no local"
Picnic do mercado,🛒 Mercado,⭐⭐ Vale o desvio,Qui 20/Ago,"Picnic do mercado, Sardegna, Italia",,,"Queijo, pão, tomate e vinho comprados na própria feira · come-se na praça"
Tomba dei Giganti di Coddu Vecchiu,🎯 Atração,⭐⭐ Vale o desvio,Qui 20/Ago,"41.05025, 9.35583",41.05025,9.35583,A estela central · sua escala em relação aos visitantes · pré-história sarda em primeira pessoa
Porto Cervo · espiada à Costa Smeralda,🎯 Atração,⏭️ Pula sem culpa,Qui 20/Ago,"41.1347, 9.5375",41.1347,9.5375,"A igreja Stella Maris, de 1966, projeto de Michele Busiri Vici: uma igreja sem um único ângulo reto. Dentro dela há uma Mater Dolorosa do século XVI atribuída a El Greco — a baronesa Tissen-Bentinck, mulher do embaixador holandês em Paris, soube da inauguração pelo jornal e doou o quadro, que chegou à Costa Smeralda no helicóptero particular do Aga Khan"
