Nome,Categoria,Estrelas,Dia,Endereço,Latitude,Longitude,Notas
"Maison Européenne de la Photographie · MEP (5/7 rue de Fourcy, 4e)",🎯 Atração,⭐⭐ Vale o desvio,🎨,"48.8551, 2.3589",48.8551,2.3589,Seja o que estiver em cartaz: a curadoria é forte e rotativa. Confere a expo do momento antes de subir.
"Mariage Frères (30 rue du Bourg-Tibourg, 4e)",🛍️ Loja/Design,⭐⭐ Vale o desvio,🎨,"48.8573, 2.3551",48.8573,2.3551,Entrar só pra sentir o cheiro (centenas de latas abertas) — e um pâtisserie no salão se for hora.
"Friperies do Marais · Free'P'Star (61 rue de la Verrerie, 4e)",🛍️ Loja/Design,⭐ Se sobrar,🎨,"48.8577, 2.354",48.8577,2.354,Cavar o cesto de €1 e sair com algo improvável. É garimpo: quem tem paciência acha tesouro.
"Maison de Nicolas Flamel (51 rue de Montmorency, 3e)",🎯 Atração,⭐⭐⭐ Vale a viagem,🎨,"48.8636, 2.3532",48.8636,2.3532,"Ler a inscrição gótica na fachada (letras e símbolos originais de 1407) — e, se quiser luxo, jantar no Auberge Nicolas Flamel, restaurante estrelado que ocupa a casa."
"L'Éclair de Génie (14 rue Pavée, 4e)",🥐 Padaria/Doceria,⭐⭐ Vale o desvio,🍫,"48.8567, 2.3602",48.8567,2.3602,O éclair caramel beurre salé (caramelo com flor de sal).
"Une Glace à Paris (15 rue Sainte-Croix-de-la-Bretonnerie, 4e)",🎯 Atração,,🍫,"48.8581, 2.3563",48.8581,2.3563,Parada do walking tour: Marais Guloso · 🍫 a rota toda
"Breizh Café (109 rue Vieille-du-Temple, 3e)",🎯 Atração,,🍫,"48.8597, 2.3609",48.8597,2.3609,Parada do walking tour: Marais Guloso · 🍫 a rota toda
"Popelini (29 rue Debelleyme, 3e)",🎯 Atração,,🍫,"48.8606, 2.3636",48.8606,2.3636,Parada do walking tour: Marais Guloso · 🍫 a rota toda
"Bontemps Pâtisserie (57 rue de Bretagne, 3e)",🎯 Atração,,🍫,"48.8628, 2.3633",48.8628,2.3633,Parada do walking tour: Marais Guloso · 🍫 a rota toda
"Jacques Genin (133 rue de Turenne, 3e)",🎯 Atração,,🍫,"48.8623, 2.3657",48.8623,2.3657,Parada do walking tour: Marais Guloso · 🍫 a rota toda
"Maison de Victor Hugo (6 Place des Vosges, 4e)",🎯 Atração,⭐⭐ Vale o desvio,🖼️,"48.8548, 2.3661",48.8548,2.3661,O salão chinês — kitsch genial — e a vista da Place des Vosges pelas janelas.
"Musée Carnavalet (23 rue de Sévigné, 3e)",🎯 Atração,,🖼️,"48.857, 2.3628",48.857,2.3628,Parada do walking tour: Museus do Marais · 🖼️ a rota toda
"Musée Cognacq-Jay (8 rue Elzévir, 3e)",🎯 Atração,,🖼️,"48.858, 2.3621",48.858,2.3621,Parada do walking tour: Museus do Marais · 🖼️ a rota toda
"Musée Picasso (Hôtel Salé, 5 rue de Thorigny, 3e)",🎯 Atração,,🖼️,"48.8598, 2.3626",48.8598,2.3626,Parada do walking tour: Museus do Marais · 🖼️ a rota toda
"Musée de la Chasse et de la Nature (62 rue des Archives, 3e)",🎯 Atração,,🖼️,"48.8604, 2.3584",48.8604,2.3584,Parada do walking tour: Museus do Marais · 🖼️ a rota toda
"Fleux (39 rue Sainte-Croix de la Bretonnerie, 4e)",🛍️ Loja/Design,⭐⭐ Vale o desvio,🛍️,"48.8581, 2.3552",48.8581,2.3552,"O fundo da loja nº39, onde ficam as peças de design autoral e a seleção de iluminação."
"Sézane (33 rue des Blancs-Manteaux, 4e)",🎯 Atração,,🛍️,"48.8585, 2.3576",48.8585,2.3576,Parada do walking tour: Marais das Lojas · 🛍️ a rota toda
"CSAO (9 rue Elzévir, 3e)",🎯 Atração,,🛍️,"48.8584, 2.3609",48.8584,2.3609,Parada do walking tour: Marais das Lojas · 🛍️ a rota toda
"Muji (47 rue des Francs-Bourgeois, 4e)",🎯 Atração,,🛍️,"48.8581, 2.3614",48.8581,2.3614,Parada do walking tour: Marais das Lojas · 🛍️ a rota toda
"French Trotters (128 rue Vieille-du-Temple, 3e)",🎯 Atração,,🛍️,"48.8617, 2.3628",48.8617,2.3628,Parada do walking tour: Marais das Lojas · 🛍️ a rota toda
"Empreintes (5 rue de Picardie, 3e)",🎯 Atração,,🛍️,"48.8633, 2.3644",48.8633,2.3644,Parada do walking tour: Marais das Lojas · 🛍️ a rota toda
"Bonton (5 boulevard des Filles du Calvaire, 3e)",🎯 Atração,,🛍️,"48.862, 2.367",48.862,2.367,Parada do walking tour: Marais das Lojas · 🛍️ a rota toda
"Merci (111 boulevard Beaumarchais, 3e)",🎯 Atração,,🛍️,"48.8607, 2.3669",48.8607,2.3669,Parada do walking tour: Marais das Lojas · 🛍️ a rota toda
