Nome,Categoria,Estrelas,Dia,Endereço,Latitude,Longitude,Notas
Bernie's (332 Driggs Ave),🍽️ Restaurante,⭐⭐ Vale o desvio,Dom 5/Jul,"40.7219, -73.9506",40.7219,-73.9506,"Americano retrô red-sauce de Greenpoint, vibe nostálgica, porções generosas pra mesa grande. Walk-in fácil, bom pra grupo com criança."
Oculus · World Trade Center,🎯 Atração,⭐⭐ Vale o desvio,Seg 6/Jul,"40.7113, -74.0118",40.7113,-74.0118,O 'eye of the oculus' — clarabóia central que se abre todo 11 de Setembro às 10h28 (hora exata da queda da torre norte)
9/11 Memorial,🎯 Atração,⭐⭐⭐ Vale a viagem,Seg 6/Jul,"40.7115, -74.0134",40.7115,-74.0134,A Survivor Tree (pereira que sobreviveu ao atentado) · quando familiares colocam uma rosa branca sobre o nome inscrito (gesto silencioso que humaniza o número 2.977)
Century 21 (22 Cortlandt St) — opcional,🛍️ Loja/Design,⭐ Se sobrar,Seg 6/Jul,"40.7101, -74.0102",40.7101,-74.0102,"A proximidade absurda: sai do Oculus, atravessa a rua, está dentro e seco · andar de sapatos/bolsas de grife é onde mora a pechincha."
FiDi Histórico · Wall Street a pé,🎯 Atração,⭐⭐ Vale o desvio,Seg 6/Jul,"40.7081, -74.0122",40.7081,-74.0122,"Colar a mão na tumba-pirâmide branca de Alexander Hamilton em Trinity e olhar, do outro lado da Broadway, a mesma Wall Street que ele ajudou a inventar como 1º Secretário do Tesouro."
Trinity Church (89 Broadway · Hamilton's tomb),🎯 Atração,,Seg 6/Jul,"40.7081, -74.0122",40.7081,-74.0122,Parada do walking tour: FiDi · 🏛️ Milha Fundadora
Federal Hall (26 Wall St),🎯 Atração,,Seg 6/Jul,"40.7073, -74.0102",40.7073,-74.0102,Parada do walking tour: FiDi · 🏛️ Milha Fundadora
NYSE (11 Wall St),🎯 Atração,,Seg 6/Jul,"40.7069, -74.0113",40.7069,-74.0113,Parada do walking tour: FiDi · 🏛️ Milha Fundadora
Stone Street (Historic District),🎯 Atração,,Seg 6/Jul,"40.7043, -74.0111",40.7043,-74.0111,Parada do walking tour: FiDi · 🏛️ Milha Fundadora
Fraunces Tavern (54 Pearl St),🎯 Atração,,Seg 6/Jul,"40.7034, -74.0113",40.7034,-74.0113,Parada do walking tour: FiDi · 🏛️ Milha Fundadora
Charging Bull (Bowling Green),🎯 Atração,,Seg 6/Jul,"40.7056, -74.0135",40.7056,-74.0135,Parada do walking tour: FiDi · 🏛️ Milha Fundadora
Bowling Green (Broadway & Whitehall),🎯 Atração,,Seg 6/Jul,"40.7049, -74.0137",40.7049,-74.0137,Parada do walking tour: FiDi · 🏛️ Milha Fundadora
Whole Foods Tribeca (270 Greenwich St),🛒 Mercado,⭐ Se sobrar,Seg 6/Jul,"40.7156, -74.0115",40.7156,-74.0115,"Hot bar grande, saladas, opções saudáveis. Comer no Hudson River Park ou no próprio mezanino."
Brookfield Place Hudson Eats,🍴 Food Hall,⭐⭐ Vale o desvio,Seg 6/Jul,"40.7127, -74.0154",40.7127,-74.0154,"Food hall climatizado com Black Seed Bagels, Sweetgreen, Shake Shack, Mighty Quinn BBQ etc. Vista da World Financial Center."
Joe's Pizza (7 Carmine St),🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Seg 6/Jul,"40.7305, -74.0022",40.7305,-74.0022,"Pizza por fatia clássica, $3-4/fatia. Greenwich Village mas vale o desvio. Pulada de fatia rápida."
SeaGlass Carousel (Battery Park),🎯 Atração,⭐⭐ Vale o desvio,Seg 6/Jul,"40.7038, -74.0166",40.7038,-74.0166,"O efeito imersivo: luz baixa, peixes brilhando, música clássica — a criança fica em transe os 3 minutos do passeio"
Central Park Zoo + Tisch Children's Zoo,🎯 Atração,⭐⭐ Vale o desvio,Ter 7/Jul,"40.7676, -73.9719",40.7676,-73.9719,"Sea lion feeding às 11h30 (também 14h e 16h30) — show educativo de 15 min com tratadores, criança adora"
Whole Foods Columbus Circle,🛒 Mercado,⭐ Se sobrar,Ter 7/Jul,"40.7683, -73.9831",40.7683,-73.9831,Hot bar enorme + saladas + sushi pra montar prato. Comer na praça aberta do TWC ou montar piquenique pro Central Park.
Trader Joe's 670 Columbus Ave,🛒 Mercado,⭐ Se sobrar,Ter 7/Jul,"40.7917, -73.9705",40.7917,-73.9705,"Mercado mais barato, ótimo pra piquenique (sanduíches prontos, frutas, snacks)."
Le Pain Quotidien Columbus Circle,☕ Café,⭐⭐ Vale o desvio,Ter 7/Jul,"40.7681, -73.9821",40.7681,-73.9821,"Sit-down rápido com high chair, cardápio infantil, salgadas/saladas saudáveis."
Bethesda Terrace + Bow Bridge,🎯 Atração,⭐⭐⭐ Vale a viagem,Ter 7/Jul,"40.7739, -73.9712",40.7739,-73.9712,O teto Minton da arcada inferior · Bow Bridge ao pôr do sol
Strawberry Fields + Imagine mosaic (West 72nd),🎯 Atração,,Ter 7/Jul,"40.7757, -73.9747",40.7757,-73.9747,Parada do walking tour: Central Park · 🎨 Coração do Parque
The Mall + Literary Walk,🎯 Atração,,Ter 7/Jul,"40.7728, -73.9714",40.7728,-73.9714,Parada do walking tour: Central Park · 🎨 Coração do Parque
Bethesda Terrace + Angel of the Waters,🎯 Atração,,Ter 7/Jul,"40.774, -73.9712",40.774,-73.9712,Parada do walking tour: Central Park · 🎨 Coração do Parque
Bow Bridge,🎯 Atração,,Ter 7/Jul,"40.7757, -73.972",40.7757,-73.972,Parada do walking tour: Central Park · 🎨 Coração do Parque
Conservatory Water + Sailboat Pond,🎯 Atração,,Ter 7/Jul,"40.774, -73.967",40.774,-73.967,Parada do walking tour: Central Park · 🎨 Coração do Parque
Alice in Wonderland + Hans Christian Andersen statues,🎯 Atração,,Ter 7/Jul,"40.7748, -73.9665",40.7748,-73.9665,Parada do walking tour: Central Park · 🎨 Coração do Parque
Teleférico Roosevelt Island,🎯 Atração,⭐⭐ Vale o desvio,Ter 7/Jul,"40.7615, -73.9633",40.7615,-73.9633,O momento em que o teleférico passa por cima dos carros da Queensboro Bridge a 76m — sensação de voar sobre Manhattan
Heckscher Playground,🌳 Parque,⭐⭐ Vale o desvio,Ter 7/Jul,"40.7687, -73.9777",40.7687,-73.9777,"Maior playground do Central Park, área de spray d'água em julho. Sul do parque (62nd St)."
Ancient Playground,🌳 Parque,⭐⭐ Vale o desvio,Ter 7/Jul,"40.7803, -73.9585",40.7803,-73.9585,"Tema egípcio, perto do MET (84th St). Spray d'água. Bom se vão pro lado leste."
Diana Ross Playground,🌳 Parque,⭐⭐ Vale o desvio,Ter 7/Jul,"40.7822, -73.9711",40.7822,-73.9711,"West Side (81st St), perto do AMNH. Sombra densa."
"Village · Bonito, Design & Café a pé",🎯 Atração,⭐⭐ Vale o desvio,Qua 8/Jul,"40.7359, -73.9911",40.7359,-73.9911,"Washington Mews: o beco de cavalariças de 1830 em paralelepípedo, portões de ferro fechados e hera nas casinhas — a foto mais bonita e menos óbvia do Village, meia quadra ao norte do parque."
Union Square (14th St · Greenmarket),🎯 Atração,,Qua 8/Jul,"40.7359, -73.9911",40.7359,-73.9911,"Parada do walking tour: Village · 🎨 Bonito, Design & Café"
Strand Bookstore (828 Broadway),🎯 Atração,,Qua 8/Jul,"40.7332, -73.9908",40.7332,-73.9908,"Parada do walking tour: Village · 🎨 Bonito, Design & Café"
Washington Mews (University Pl),🎯 Atração,,Qua 8/Jul,"40.7314, -73.9953",40.7314,-73.9953,"Parada do walking tour: Village · 🎨 Bonito, Design & Café"
Washington Square Arch,🎯 Atração,,Qua 8/Jul,"40.7308, -73.9974",40.7308,-73.9974,"Parada do walking tour: Village · 🎨 Bonito, Design & Café"
Caffe Reggio (119 MacDougal),🎯 Atração,,Qua 8/Jul,"40.7297, -73.9988",40.7297,-73.9988,"Parada do walking tour: Village · 🎨 Bonito, Design & Café"
Greenwich Letterpress (15 Christopher St),🎯 Atração,,Qua 8/Jul,"40.7341, -74.0005",40.7341,-74.0005,"Parada do walking tour: Village · 🎨 Bonito, Design & Café"
Jefferson Market Library (425 6th Ave),🎯 Atração,,Qua 8/Jul,"40.7346, -73.9991",40.7346,-73.9991,"Parada do walking tour: Village · 🎨 Bonito, Design & Café"
MOMA · Museum of Modern Art,🎯 Atração,⭐⭐⭐ Vale a viagem,Qua 8/Jul,"40.7614, -73.9776",40.7614,-73.9776,"A Noite Estrelada (Van Gogh, 1889) — Sala 502, 5º andar · Demoiselles d'Avignon (Picasso) + Monet Water Lilies estão na mesma região"
The Halal Guys (53rd & 6th),🍽️ Restaurante,⭐⭐ Vale o desvio,Qua 8/Jul,"40.7617, -73.9797",40.7617,-73.9797,"Food cart original desde 1990, chicken & rice combo com molho branco + hot sauce. Comer no banco do parque ou Bryant Park (5min)."
Le Pain Quotidien (53rd & 7th),☕ Café,⭐⭐ Vale o desvio,Qua 8/Jul,"40.7626, -73.9831",40.7626,-73.9831,"Sit-down com high chair, cardápio infantil, salgadas/saladas, ambiente tranquilo pra criança."
Whole Foods Bryant Park,🛒 Mercado,⭐ Se sobrar,Qua 8/Jul,"40.7546, -73.9848",40.7546,-73.9848,Hot bar grande + comer no Bryant Park (10 min). Funciona bem como piquenique.
Apple SoHo (103 Prince St),🛍️ Loja/Design,⭐ Se sobrar,Qua 8/Jul,"40.7247, -73.9982",40.7247,-73.9982,"Balcão de pickup nos fundos — retirada de pedido online é separada da fila de vendas, costuma ser rápida"
Grand Central Terminal (89 E 42nd St),🎯 Atração,⭐⭐⭐ Vale a viagem,Qui 9/Jul,"40.7527, -73.9772",40.7527,-73.9772,"Ache o retângulo escuro num canto do teto — deixado sujo de propósito na restauração dos anos 90 pra mostrar décadas de fumaça de cigarro. E desça ao Whispering Gallery (nível inferior, em frente ao Oyster Bar): fale virado pro canto do arco de azulejo Guastavino e alguém ouve do canto oposto, na diagonal."
Midtown Coberto · Grand Central → brinquedos a pé,🎯 Atração,⭐⭐ Vale o desvio,Qui 9/Jul,"40.7527, -73.9772",40.7527,-73.9772,"As duas lojas de brinquedo emendadas no fim: no FAO Schwarz, pise no piano gigante de chão do filme Big; na LEGO Store ao lado, os mock-ups da skyline montados peça a peça. 1 min entre as duas, tudo coberto."
Chrysler Building (405 Lexington Ave),🎯 Atração,,Qui 9/Jul,"40.7516, -73.9755",40.7516,-73.9755,Parada do walking tour: Midtown · 🏙️ Coberto & Brinquedos
NY Public Library (5th Ave & 42nd),🎯 Atração,,Qui 9/Jul,"40.7532, -73.9822",40.7532,-73.9822,Parada do walking tour: Midtown · 🏙️ Coberto & Brinquedos
Bryant Park · Le Carrousel,🎯 Atração,,Qui 9/Jul,"40.7529, -73.9832",40.7529,-73.9832,Parada do walking tour: Midtown · 🏙️ Coberto & Brinquedos
St. Patrick’s Cathedral (5th & 50th),🎯 Atração,,Qui 9/Jul,"40.7585, -73.976",40.7585,-73.976,Parada do walking tour: Midtown · 🏙️ Coberto & Brinquedos
Rockefeller Center + Concourse,🎯 Atração,,Qui 9/Jul,"40.7589, -73.9789",40.7589,-73.9789,Parada do walking tour: Midtown · 🏙️ Coberto & Brinquedos
FAO Schwarz (30 Rockefeller Plaza),🎯 Atração,,Qui 9/Jul,"40.7587, -73.9787",40.7587,-73.9787,Parada do walking tour: Midtown · 🏙️ Coberto & Brinquedos
LEGO Store (636 5th Ave),🎯 Atração,,Qui 9/Jul,"40.759, -73.9771",40.759,-73.9771,Parada do walking tour: Midtown · 🏙️ Coberto & Brinquedos
Top of the Rock · 70 andares,🎯 Atração,⭐⭐⭐ Vale a viagem,Sex 10/Jul,"40.7587, -73.9787",40.7587,-73.9787,O deck 70 sem grades — sensação de estar no topo da cidade · pôr do sol às 20h32
Channel Gardens (Rockefeller entrada 5th Ave),🎯 Atração,,Sex 10/Jul,"40.7589, -73.9789",40.7589,-73.9789,Parada do walking tour: Midtown · 🏙️ 5th Ave + 42nd St
Atlas statue (Rockefeller 5th Ave),🎯 Atração,,Sex 10/Jul,"40.7585, -73.9772",40.7585,-73.9772,Parada do walking tour: Midtown · 🏙️ 5th Ave + 42nd St
Saint Patrick's Cathedral (5th Ave & 50th),🎯 Atração,,Sex 10/Jul,"40.7585, -73.976",40.7585,-73.976,Parada do walking tour: Midtown · 🏙️ 5th Ave + 42nd St
NY Public Library Schwarzman (5th Ave & 42nd),🎯 Atração,,Sex 10/Jul,"40.7532, -73.9822",40.7532,-73.9822,Parada do walking tour: Midtown · 🏙️ 5th Ave + 42nd St
Chrysler Building (Lexington & 42nd),🎯 Atração,,Sex 10/Jul,"40.7516, -73.9755",40.7516,-73.9755,Parada do walking tour: Midtown · 🏙️ 5th Ave + 42nd St
Grand Central Dining Concourse,🍴 Food Hall,⭐⭐ Vale o desvio,Sex 10/Jul,"40.7527, -73.9772",40.7527,-73.9772,"Food hall histórico abaixo da estação. Murray's Cheese Bar, Shake Shack, Cipriani, Magnolia Bakery. Atmosfera grand."
Sweetgreen (5th Ave),🍽️ Restaurante,⭐ Se sobrar,Sex 10/Jul,"40.7553, -73.9843",40.7553,-73.9843,"Saladas customizáveis, sem espera longa, kid-friendly."
Metropolitan Museum of Art (MET),🎯 Atração,⭐⭐⭐ Vale a viagem,Sex 10/Jul,"40.7794, -73.9632",40.7794,-73.9632,"O Templo de Dendur (Sackler Wing) está em Nova York porque os EUA ajudaram a salvar os templos da Núbia da inundação da represa de Assuã — em 1965 o Egito o deu de presente (com empurrão de Jackie Kennedy) e ele foi remontado pedra por pedra. Repare que está orientado como ficava no Nilo, com a piscina refletora fazendo as vezes do rio."
American Museum of Natural History,🎯 Atração,⭐⭐⭐ Vale a viagem,Sáb 11/Jul,"40.7813, -73.9737",40.7813,-73.9737,"A joia escondida é literal: a Star of India, safira de 563 quilates na sala de gemas — roubada daqui mesmo em 29/out/1964 por 'Murph the Surf' (a gangue entrou por um duto de ar) e recuperada dias depois. E, no 4º andar, olhe o T-Rex de perfil: hoje na horizontal correta, não mais empinado."
Shake Shack Columbus Circle,🍽️ Restaurante,⭐⭐ Vale o desvio,Sáb 11/Jul,"40.7684, -73.9829",40.7684,-73.9829,"Burger clássico NYC, kid menu, cardápio rápido. Mais 5 min de caminhada."
Café Mezz (dentro do AMNH),☕ Café,⭐ Se sobrar,Sáb 11/Jul,"40.7813, -73.9737",40.7813,-73.9737,"Café do próprio museu, conveniência total mas comida fraca. Vale só se quiserem ficar dentro."
The Vessel · Hudson Yards (visto de baixo),🎯 Atração,⭐ Se sobrar,Sáb 11/Jul,"40.7539, -74.0021",40.7539,-74.0021,"Ver o favo de mel de baixo pra cima, no centro da praça — a geometria repetida some no alto e o aço reflete a luz do dia. Foto garantida sem pagar ticket."
High Line · entrada norte (30th St) → sul,🌳 Parque,⭐⭐⭐ Vale a viagem,Sáb 11/Jul,"40.7559, -74.0042",40.7559,-74.0042,"O 26th St 'viewing spur' — extensão lateral original da ferrovia preservada como mirante, vista única da 10th Avenue"
The Spur + The Plinth (30th & 10th Ave),🎯 Atração,,Sáb 11/Jul,"40.7548, -74.0017",40.7548,-74.0017,Parada do walking tour: High Line · 🌿 Annotations ao longo do percurso
26th St viewing spur,🎯 Atração,,Sáb 11/Jul,"40.7508, -74.005",40.7508,-74.005,Parada do walking tour: High Line · 🌿 Annotations ao longo do percurso
23rd St Lawn,🎯 Atração,,Sáb 11/Jul,"40.7479, -74.0058",40.7479,-74.0058,Parada do walking tour: High Line · 🌿 Annotations ao longo do percurso
10th Ave Square (17th St),🎯 Atração,,Sáb 11/Jul,"40.7434, -74.0067",40.7434,-74.0067,Parada do walking tour: High Line · 🌿 Annotations ao longo do percurso
"Chelsea Market Passage (16th St, ex-Nabisco)",🎯 Atração,,Sáb 11/Jul,"40.7422, -74.007",40.7422,-74.007,Parada do walking tour: High Line · 🌿 Annotations ao longo do percurso
"The Standard Hotel (Little W 12th, straddling)",🎯 Atração,,Sáb 11/Jul,"40.7402, -74.0079",40.7402,-74.0079,Parada do walking tour: High Line · 🌿 Annotations ao longo do percurso
Los Tacos No.1,🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Sáb 11/Jul,"40.7424, -74.0061",40.7424,-74.0061,Tacos mexicanos autênticos com tortilla feita na hora. Al pastor com abacaxi é icônico. Fila rotativa rápida.
The Lobster Place,🍽️ Restaurante,⭐⭐ Vale o desvio,Sáb 11/Jul,"40.7424, -74.0061",40.7424,-74.0061,"Lobster roll fresco, ostras, sushi de qualidade. Aquário ao vivo encanta criança."
Amy's Bread + Buon Italia,🥐 Padaria/Doceria,⭐⭐ Vale o desvio,Sáb 11/Jul,"40.7424, -74.0061",40.7424,-74.0061,"Sanduíches em pão artesanal + opções italianas. Mais leve, kid-friendly."
Little Island,🌳 Parque,⭐⭐ Vale o desvio,Sáb 11/Jul,"40.7421, -74.0107",40.7421,-74.0107,"Desça até a borda norte e olhe as tulipas por baixo: os pilares de concreto se abrem como taças que seguram a terra e a água da chuva — engenharia à mostra que some quando você está em cima. O canto sudoeste é o ponto mais alto, com a downtown emoldurada ao sul."
"Intrepid Museum (Pier 86, W 46th St)",🎯 Atração,⭐⭐⭐ Vale a viagem,Dom 12/Jul,"40.7645, -73.9997",40.7645,-73.9997,Subir ao flight deck entre caças de verdade e entrar no Space Shuttle Pavilion cara a cara com o Enterprise — a pequena vai surtar com os aviões.
Xi'an Famous Foods (60 W 45th St),🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Dom 12/Jul,"40.7566, -73.9821",40.7566,-73.9821,Macarrão biang-biang puxado à mão + lamb cumin (sabor da Rota da Seda). Picante REAL. $15-20/pessoa.
Kung Fu Little Steamed Buns (811 8th Ave),🍽️ Restaurante,⭐⭐ Vale o desvio,Dom 12/Jul,"40.7613, -73.9871",40.7613,-73.9871,"Soup dumplings (xiao long bao) e ramen · clássico de Hell's Kitchen, rápido e barato"
Pio Pio,🍽️ Restaurante,⭐⭐ Vale o desvio,Dom 12/Jul,"40.7606, -73.9945",40.7606,-73.9945,"Frango assado peruano, ótimo pra criança (pré-musical caso família queira algo mais simples)."
MJ The Musical,🎯 Atração,⭐⭐⭐ Vale a viagem,Dom 12/Jul,"40.7631, -73.9844",40.7631,-73.9844,O número 'Smooth Criminal' com a lean impossible — coreografia que requer engenharia mecânica nos sapatos
Empanada Mama (765 9th Ave),🍽️ Restaurante,⭐⭐ Vale o desvio,Dom 12/Jul,"Empanada Mama 765 9th Ave, New York, NY",,,"40+ empanadas colombianas (trigo, milho ou assadas) + tapas · aberta 24h, informal e rápida, colada no teatro. O jantar pós-show mais prático da noite."
"Marseille (630 9th Ave, esq. 44th)",🍽️ Restaurante,⭐⭐ Vale o desvio,Dom 12/Jul,"40.7598, -73.9914",40.7598,-73.9914,"Brasserie francesa clássica de Hell's Kitchen há décadas (2 estrelas do NYT) — mais parada, com mesa e serviço, pra quem quer jantar de verdade depois do show."
Los Tacos No. 1 (229 W 43rd St),🍽️ Restaurante,⭐⭐ Vale o desvio,Dom 12/Jul,"40.7574, -73.9876",40.7574,-73.9876,"Tacos al pastor cortados do trompo, no balcão em pé (sem mesa) — rápido e barato na saída, na altura da Times Square."
Five Leaves (Greenpoint),🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Seg 13/Jul,"40.7239, -73.9515",40.7239,-73.9515,"Restaurante institution Greenpoint, ricotta pancakes lendária, atmosfera de café Australia-meets-Brooklyn. Reservar via Resy (lotado domingo, segunda mais tranquilo)."
Cafe Mogador (Williamsburg),🍽️ Restaurante,⭐⭐ Vale o desvio,Seg 13/Jul,"40.7202, -73.9581",40.7202,-73.9581,"Brunch marroquino, tagine + ovos pochés. Vibe colorida, kid-friendly."
Sweetleaf Coffee (Greenpoint),☕ Café,⭐⭐ Vale o desvio,Seg 13/Jul,"40.7359, -73.9528",40.7359,-73.9528,"Café terceira-onda, sanduíches simples, atmosfera de coworking local. Mais quick."
Brooklyn Bridge Park · Pier 1 + Pebble Beach,🌳 Parque,⭐⭐ Vale o desvio,Seg 13/Jul,"40.7016, -73.9968",40.7016,-73.9968,Pebble Beach com a Brooklyn Bridge enquadrando o skyline ao fundo — uma das melhores fotos de Brooklyn
Old Fulton Street + Eagle Warehouse (1893),🎯 Atração,,Seg 13/Jul,"40.7022, -73.9943",40.7022,-73.9943,Parada do walking tour: DUMBO · 🏭 Industrial Past
Brooklyn Bridge Anchorage,🎯 Atração,,Seg 13/Jul,"40.7028, -73.9929",40.7028,-73.9929,Parada do walking tour: DUMBO · 🏭 Industrial Past
Front General Store (143 Front St),🎯 Atração,,Seg 13/Jul,"40.7036, -73.9904",40.7036,-73.9904,Parada do walking tour: DUMBO · 🏭 Industrial Past
Manhattan Bridge view spot (Washington & Water),🎯 Atração,,Seg 13/Jul,"40.7037, -73.9893",40.7037,-73.9893,Parada do walking tour: DUMBO · 🏭 Industrial Past
Empire Stores + Time Out Market (53-83 Water St),🎯 Atração,,Seg 13/Jul,"40.7034, -73.9893",40.7034,-73.9893,Parada do walking tour: DUMBO · 🏭 Industrial Past
St. Ann's Warehouse (45 Water St),🎯 Atração,,Seg 13/Jul,"40.7042, -73.9883",40.7042,-73.9883,Parada do walking tour: DUMBO · 🏭 Industrial Past
Brooklyn Bridge Walk a pé,🎯 Atração,⭐⭐⭐ Vale a viagem,Seg 13/Jul,"40.7061, -73.9969",40.7061,-73.9969,"O ponto central da ponte (Tower #2) tem a vista mais icônica · Brooklyn pra trás, Manhattan na frente"
Locanda Verde,🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Seg 13/Jul,"40.7198, -74.0098",40.7198,-74.0098,"Restaurante de Andrew Carmellini, parceria com Robert De Niro. Italiano elevado em ambiente de loft. Reserva via Resy."
Bubby's Tribeca,🍽️ Restaurante,⭐⭐ Vale o desvio,Seg 13/Jul,"40.7198, -74.0084",40.7198,-74.0084,"All-day American comfort, café da manhã servido o dia todo. Bom pra grupo."
Whole Foods Tribeca,🛒 Mercado,⭐ Se sobrar,Seg 13/Jul,"40.7156, -74.0115",40.7156,-74.0115,Hot bar + saladas pra montar prato + comer no Hudson River Park (Pier 25). Mais rápido se o tempo apertar.
Levain Bakery (351 Amsterdam Ave),🥐 Padaria/Doceria,⭐⭐⭐ Vale a viagem,💡 Dica,"40.7812, -73.9796",40.7812,-73.9796,"O cookie mais famoso de NY (170g, gooey) · perto do AMNH"
Maman (429 Amsterdam Ave),☕ Café,⭐⭐ Vale o desvio,💡 Dica,"40.7837, -73.9781",40.7837,-73.9781,Nutty chocolate chip cookie · café francês charmoso
Insomnia Cookies (405 Amsterdam Ave),🥐 Padaria/Doceria,⭐ Se sobrar,💡 Dica,"40.7829, -73.9786",40.7829,-73.9786,"Cookies servidos quentes · casual, barato"
Crumbl Cookies (301 Columbus Ave),🥐 Padaria/Doceria,⭐ Se sobrar,💡 Dica,"40.7787, -73.9801",40.7787,-73.9801,6 sabores rotativos por semana
5 Napkin Burger (2315 Broadway),🍽️ Restaurante,⭐⭐ Vale o desvio,💡 Dica,"40.7871, -73.9781",40.7871,-73.9781,Hambúrguer sit-down sério · perto do AMNH
7th Street Burger (424 Amsterdam Ave),🍽️ Restaurante,⭐⭐ Vale o desvio,💡 Dica,"40.7835, -73.9784",40.7835,-73.9784,Smash burger cult · rápido
Blue Bottle Coffee (Rockefeller Center),☕ Café,⭐⭐ Vale o desvio,💡 Dica,"40.7587, -73.9791",40.7587,-73.9791,Café de especialidade dentro do Rock Center
Breads Bakery (1230 6th Ave),🥐 Padaria/Doceria,⭐⭐⭐ Vale a viagem,💡 Dica,"40.7588, -73.9808",40.7588,-73.9808,Babka de chocolate lendária
Bryant Park Grill (25 W 40th St),🍽️ Restaurante,⭐⭐ Vale o desvio,💡 Dica,"40.7535, -73.9832",40.7535,-73.9832,Sit-down com jardim atrás da NYPL · kid-ok
